2021-06-02 20:27:32,725 - root -  OrderedDict([('frame_index', 0), ('class_id', [0]), ('scores', [0.9937817454338074]), ('box_coordinates', [[231, 74, 1072, 708]])])
2021-06-02 20:27:32,727 - root -  OrderedDict([('frame_index', 1), ('class_id', [0]), ('scores', [0.9959501028060913]), ('box_coordinates', [[230, 74, 1091, 708]])])
2021-06-02 20:27:32,728 - root -  OrderedDict([('frame_index', 2), ('class_id', [0]), ('scores', [0.9948398470878601]), ('box_coordinates', [[225, 78, 1060, 717]])])
2021-06-02 20:27:32,729 - root -  OrderedDict([('frame_index', 3), ('class_id', [0]), ('scores', [0.9934034943580627]), ('box_coordinates', [[224, 88, 1064, 717]])])
2021-06-02 20:27:32,730 - root -  OrderedDict([('frame_index', 4), ('class_id', [0]), ('scores', [0.9931500554084778]), ('box_coordinates', [[226, 84, 1066, 712]])])
2021-06-02 20:27:32,731 - root -  OrderedDict([('frame_index', 5), ('class_id', [0]), ('scores', [0.9886773824691772]), ('box_coordinates', [[230, 87, 1050, 715]])])
2021-06-02 20:27:32,733 - root -  OrderedDict([('frame_index', 6), ('class_id', [0]), ('scores', [0.990766167640686]), ('box_coordinates', [[241, 83, 1036, 711]])])
2021-06-02 20:27:32,734 - root -  OrderedDict([('frame_index', 7), ('class_id', [0]), ('scores', [0.9942076206207275]), ('box_coordinates', [[248, 67, 1073, 707]])])
2021-06-02 20:27:32,735 - root -  OrderedDict([('frame_index', 8), ('class_id', [0]), ('scores', [0.9934197068214417]), ('box_coordinates', [[249, 62, 1061, 709]])])
2021-06-02 20:27:32,735 - root -  OrderedDict([('frame_index', 9), ('class_id', [0]), ('scores', [0.992489755153656]), ('box_coordinates', [[249, 63, 1066, 709]])])
2021-06-02 20:27:32,736 - root -  OrderedDict([('frame_index', 10), ('class_id', [0]), ('scores', [0.9909528493881226]), ('box_coordinates', [[230, 49, 1047, 715]])])
2021-06-02 20:27:32,737 - root -  OrderedDict([('frame_index', 11), ('class_id', [0]), ('scores', [0.9802069067955017]), ('box_coordinates', [[223, 49, 1055, 712]])])
